Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,ZipCode
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,101,34,73143
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,101,59,73144
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,105,39,73146
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,115,25,73147
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,163,17,73148
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,143,21,73152
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,182,83,73153
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,117,90,73154
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,139,58,73155
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,130,93,73156
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,163,133,73157
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,174,81,73164
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,106,82,73178
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,115,93,73184
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,143,18,73185
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,173,5,73189
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,116,88,73190
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,105,35,73194
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,190,45,73195
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,191,53,73196
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,175,84,73101
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,134,50,73102
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,191,5,73113
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,103,33,73123
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,173,65,73124
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,122,76,73125
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,100,14,73126
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,110,60,73136
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,185,138,73140
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,195,105,73143
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,137,26,73144
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,163,73,73146
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,116,47,73147
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,176,63,73148
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,175,150,73152
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,157,80,73153
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,164,83,73154
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,199,3,73155
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,161,17,73156
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,159,139,73157
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,179,105,73164
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,184,169,73178
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,181,175,73184
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,164,13,73185
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,104,71,73189
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,119,22,73190
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,111,96,73194
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,170,76,73195
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,175,45,73196
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,188,65,73101
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,168,122,73102
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,134,8,73113
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,101,23,73123
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,122,95,73124
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,101,17,73125
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,176,144,73126
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,164,0,73136
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,144,53,73140
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,173,17,73143
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,128,93,73144
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,137,27,73146
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,115,34,73147
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,143,88,73148
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,179,93,73152
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,161,99,73153
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,152,91,73154
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,161,156,73155
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,103,86,73156
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,142,126,73157
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,197,120,73164
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,137,34,73178
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,168,21,73184
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,105,8,73185
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,149,108,73189
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,130,24,73190
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,161,159,73194
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,178,76,73195
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,191,22,73196
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,151,48,73101
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,192,96,73102
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,119,39,73113
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,113,31,73123
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,146,138,73124
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,119,110,73125
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,198,168,73126
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,125,43,73136
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,118,4,73140
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,122,30,73143
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,191,108,73144
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,115,90,73146
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,127,90,73147
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,182,3,73148
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,139,75,73152
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,179,5,73153
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,153,48,73154
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,104,38,73155
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,116,64,73156
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,149,22,73157
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,149,74,73164
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,167,56,73178
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,113,64,73184
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,155,24,73185
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,119,90,73189
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,125,5,73190
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,124,26,73194
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,189,83,73195
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,199,91,73196
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,157,0,73101
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,126,0,73102
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,198,0,73113
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,134,0,73123
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,129,0,73124
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,136,0,73125
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,191,0,73126
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,133,0,73136
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,197,0,73140
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,163,0,73143
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,150,0,73144
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,123,0,73146
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,159,0,73147
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,174,0,73148
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,170,0,73152
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,163,0,73153
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,143,0,73154
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,177,0,73155
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,182,0,73156
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,129,0,73157
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,109,0,73164
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,118,0,73178
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,119,0,73184
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,135,0,73185
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,126,0,73189
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,194,0,73190
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,198,0,73194
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,194,0,73195
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,164,0,73196
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,132,4,73101
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,185,6,73102
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,124,4,73113
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,119,4,73123
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,157,5,73124
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,118,4,73125
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,156,5,73126
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,180,6,73136
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,111,4,73140
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,119,4,73143
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,105,3,73144
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,181,6,73146
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,117,4,73147
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,142,5,73148
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,101,3,73152
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,172,6,73153
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,128,4,73154
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,179,6,73155
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,123,4,73156
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,156,5,73157
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,138,5,73164
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,104,3,73178
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,115,4,73184
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,179,6,73185
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,100,3,73189
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,124,4,73190
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,136,5,73194
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,151,5,73195
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,142,5,73196
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,185,4,73101
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,104,2,73102
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,132,3,73113
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,193,4,73123
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,148,3,73124
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,145,3,73125
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,194,4,73126
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,111,2,73136
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,112,2,73140
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,159,3,73143
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,154,3,73144
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,191,4,73146
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,138,3,73147
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,189,4,73148
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,134,3,73152
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,156,3,73153
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,172,3,73154
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,165,3,73155
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,155,3,73156
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,186,4,73157
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,193,4,73164
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,101,2,73178
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,172,3,73184
